Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2024,RS,5,42,261,MAD,P005928,"CAMPAZZO, FACUNDO",FTM,Free Throw In,1,-1,-1, ,0,0,0,18,02:15,41,24,20241024192649
2024,RS,5,42,262,MAD,P005928,"CAMPAZZO, FACUNDO",FTM,Free Throw In,1,-1,-1, ,0,0,0,18,02:15,42,24,20241024192710
2024,RS,5,42,264,RED,P006240,"PLAVSIC, UROS",2FGA,Missed Two Pointer,0,69,175,C,0,0,0,19,01:55,42,24,20241024192732
2024,RS,5,42,271,RED,P012044,"DOS SANTOS, YAGO",2FGM,Two Pointer,2,-25,175,B,0,1,0,19,01:42,42,26,20241024193050
2024,RS,5,42,282,MAD,P009213,"NDIAYE, ELI",2FGM,Two Pointer,2,0,18,A,0,0,1,19,01:10,44,26,20241024193222
2024,RS,5,42,287,RED,P007960,"DAVIDOVAC, DEJAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,20,00:47,44,27,20241024193309
2024,RS,5,42,290,MAD,P009005,"DECK, GABRIEL",2FGA,Missed Two Pointer,0,-125,181,B,0,0,0,20,00:29,44,27,20241024193355
2024,RS,5,42,294,RED,P010612,"CANAAN, ISAIAH",FTM,Free Throw In,1,-1,-1, ,0,0,0,20,00:25,44,28,20241024193436
2024,RS,5,42,295,RED,P010612,"CANAAN, ISAIAH",FTM,Free Throw In,1,-1,-1, ,0,0,0,20,00:25,44,29,20241024193450
2024,RS,5,42,309,MAD,P005928,"CAMPAZZO, FACUNDO",FTM,Free Throw In,1,-1,-1, ,0,0,0,20,00:04,45,29,20241024193748
2024,RS,5,42,310,MAD,P005928,"CAMPAZZO, FACUNDO",FTM,Free Throw In,1,-1,-1, ,0,0,0,20,00:04,46,29,20241024193808
2024,RS,5,42,333,MAD,P003733,"ABALDE, ALBERTO",3FGA,Missed Three Pointer,0,-602,526,H,0,0,0,21,09:39,46,29,20241024195453
2024,RS,5,42,335,RED,P009048,"MILLER-MCINTYRE, CODI",2FGA,Missed Two Pointer,0,94,401,E,0,0,0,21,09:19,46,29,20241024195514
2024,RS,5,42,347,RED,P002553,"MITROVIC, LUKA",2FGA,Missed Two Pointer,0,25,244,E,0,0,0,22,08:52,46,29,20241024195723
2024,RS,5,42,351,MAD,P003108,"HEZONJA, MARIO",FTM,Free Throw In,1,-1,-1, ,0,0,0,22,08:24,47,29,20241024195803
2024,RS,5,42,352,MAD,P003108,"HEZONJA, MARIO",FTM,Free Throw In,1,-1,-1, ,0,0,0,22,08:24,48,29,20241024195814
2024,RS,5,42,353,RED,P010612,"CANAAN, ISAIAH",2FGA,Missed Two Pointer,0,50,257,E,0,0,0,22,08:11,48,29,20241024195830
2024,RS,5,42,355,RED,P004866,"KALINIC, NIKOLA",2FGM,Two Pointer,2,138,144,C,0,1,0,22,08:06,48,31,20241024195856
2024,RS,5,42,358,MAD,P009213,"NDIAYE, ELI",3FGM,Three Pointer,3,-627,508,H,0,0,0,23,07:45,51,31,20241024195918
2024,RS,5,42,360,RED,P004866,"KALINIC, NIKOLA",3FGM,Three Pointer,3,614,495,I,0,0,0,23,07:31,51,34,20241024195932
2024,RS,5,42,362,MAD,P003108,"HEZONJA, MARIO",2FGM,Two Pointer,2,232,106,C,0,0,0,23,07:17,53,34,20241024195946
2024,RS,5,42,364,RED,P009048,"MILLER-MCINTYRE, CODI",3FGA,Missed Three Pointer,0,583,483,I,0,0,0,23,07:13,53,34,20241024195954
2024,RS,5,42,366,RED,P002553,"MITROVIC, LUKA",2FGM,Two Pointer,2,-112,125,B,0,1,0,23,07:13,53,36,20241024195958
2024,RS,5,42,369,MAD,P003733,"ABALDE, ALBERTO",3FGM,Three Pointer,3,-307,752,H,0,0,0,24,06:41,56,36,20241024200021
2024,RS,5,42,373,RED,PJDR,"TEODOSIC, MILOS",FTM,Free Throw In,1,-1,-1, ,0,0,0,24,06:30,56,37,20241024200119
2024,RS,5,42,374,RED,PJDR,"TEODOSIC, MILOS",FTM,Free Throw In,1,-1,-1, ,0,0,0,24,06:30,56,38,20241024200135
2024,RS,5,42,375,MAD,P005791,"TAVARES, WALTER",2FGM,Two Pointer,2,-12,18,A,0,0,0,24,06:08,58,38,20241024200159
2024,RS,5,42,379,RED,P002553,"MITROVIC, LUKA",FTM,Free Throw In,1,-1,-1, ,0,0,0,24,06:00,58,39,20241024200253
2024,RS,5,42,380,RED,P002553,"MITROVIC, LUKA",FTM,Free Throw In,1,-1,-1, ,0,0,0,24,06:00,58,40,20241024200310
2024,RS,5,42,382,MAD,P003108,"HEZONJA, MARIO",3FGA,Missed Three Pointer,0,-583,489,H,0,0,0,25,05:47,58,40,20241024200325
2024,RS,5,42,384,RED,PJDR,"TEODOSIC, MILOS",3FGM,Three Pointer,3,-633,501,H,0,0,0,25,05:36,58,43,20241024200336
2024,RS,5,42,386,MAD,P005928,"CAMPAZZO, FACUNDO",3FGM,Three Pointer,3,589,570,I,0,0,0,25,05:15,61,43,20241024200357
2024,RS,5,42,388,RED,P010612,"CANAAN, ISAIAH",3FGA,Missed Three Pointer,0,608,526,I,0,0,0,25,05:06,61,43,20241024200407
2024,RS,5,42,397,MAD,P005928,"CAMPAZZO, FACUNDO",FTM,Free Throw In,1,-1,-1, ,0,0,0,25,05:02,62,43,20241024200642
